Z		T	p	ratio2
    1.00e5    1.84e6  3.02e-2 0.9  
    6.68e4    1.64e6  4.17e-2 0.9  
    4.45e4    1.45e6  5.40e-2 0.9  
    2.97e4    1.27e6  6.64e-2 0.9  
    1.98e4    1.10e6  7.82e-2 0.9  
    1.32e4    9.37e5  8.91e-2 0.9  
    8.79e3    7.89e5  9.88e-2  1.0e-2  
    5.86e3    6.47e5  1.07e-1  2.0e-2  
    3.90e3    5.06e5  1.15e-1  3.0e-2 
    3.40e3    4.44e5  1.18e-1  3.3e-2  
    3.20e3    4.19e5  1.19e-1  3.5e-2
    3.00e3    3.95e5  1.21e-1  3.7e-2
    2.60e3    3.45e5  1.23e-1  3.9e-2 
    2.40e3    3.05e5  1.24e-1  9.0e-1

